"city","lon","lat","tz"
"Douglas",-104.9388853,39.2587106,"America/Denver"
"King Edward Point",-36.493735,-54.2832502,"Atlantic/South_Georgia"
"Vilnius",25.2796514,54.6871555,"Europe/Vilnius"
"Copenhagen",12.5683372,55.6760968,"Europe/Copenhagen"
"Moscow",37.6172999,55.755826,"Europe/Moscow"
"Riga",24.1051865,56.9496487,"Europe/Riga"
"Stockholm",18.0685808,59.3293235,"Europe/Stockholm"
"Tallinn",24.7535747,59.4369608,"Europe/Tallinn"
"Oslo",10.7522454,59.9138688,"Europe/Oslo"
"Helsinki",24.9383791,60.1698557,"Europe/Helsinki"
"Tórshavn",-6.7740852,62.0107248,"Atlantic/Faroe"
"Reykjavík",-21.9426354,64.146582,"Atlantic/Reykjavik"
"Nuuk",-51.6941381,64.1814099,"America/Godthab"
"Longyearbyen",15.6267229,78.2231722,"Arctic/Longyearbyen"
